Ticker,Company Name,Market Cap (USD),P/E Ratio,Dividend Yield,ROE,Debt,Revenue Growth,Sector,Industry,Currency
PYPL,"PayPal Holdings, Inc.",50039099392.0,10.850468,0.98,0.24497,14220999680.0,0.048,Financial Services,Credit Services,USD
SHW,The Sherwin-Williams Company,88866496512.0,33.739178,0.94,0.65124,15031700480.0,0.075,Basic Materials,Specialty Chemicals,USD
ICE,"Intercontinental Exchange, Inc.",83964968960.0,21.095205,1.39,0.14094,20526999552.0,0.048,Financial Services,Financial Data & Stock Exchanges,USD
CME,CME Group Inc.,94878580736.0,22.379982,1.94,0.15802,3868499968.0,0.008,Financial Services,Financial Data & Stock Exchanges,USD
AMT,American Tower Corporation,77656907776.0,26.880646,4.03,0.33914003,44979900416.0,0.047,Real Estate,REIT - Specialty,USD
APH,Amphenol Corporation,214126051328.0,43.525063,0.62,0.38115,18811299840.0,0.55,Technology,Electronic Components,USD
ELV,"Elevance Health, Inc.",84802404352.0,16.971788,1.83,0.11133,31043999744.0,0.014,Healthcare,Healthcare Plans,USD
TT,Trane Technologies plc,107369111552.0,36.390007,0.89,0.36643,4616800256.0,0.106,Industrials,Building Products & Equipment,USD
MCO,Moody's Corporation,83621306368.0,30.36824,0.85,0.76932,7619999744.0,0.151,Financial Services,Financial Data & Stock Exchanges,USD
CMG,"Chipotle Mexican Grill, Inc.",43391184896.0,31.458715,,0.49560001,5419195904.0,0.093,Consumer Cyclical,Restaurants,USD
INTC,Intel Corporation,516909105152.0,,,-0.10715,50537000960.0,0.254,Technology,Semiconductors,USD
KLAC,KLA Corporation,254122770432.0,53.298626,0.5,0.87496,5887414784.0,0.152,Technology,Semiconductor Equipment & Materials,USD
ABNB,"Airbnb, Inc.",90260226048.0,37.550617,,0.32325,2534000128.0,0.179,Consumer Cyclical,Travel Services,USD
DUK,Duke Energy Corporation,96024223744.0,18.54744,3.49,0.098570004,92205998080.0,0.011,Utilities,Utilities - Regulated Electric,USD
PH,Parker-Hannifin Corporation,125994352640.0,36.873432,0.81,0.24841999,9582000128.0,0.106,Industrials,Specialty Industrial Machinery,USD
CDNS,"Cadence Design Systems, Inc.",93214769152.0,67.05556,,0.23229,2651358976.0,0.242,Technology,Software - Application,USD
WM,"Waste Management, Inc.",89698091008.0,58.898952,1.56,0.29841,23356000256.0,0.04,Industrials,Waste Management,USD
DELL,Dell Technologies Inc.,306672107520.0,37.758156,0.62,,31924000768.0,0.875,Technology,Computer Hardware,USD
MDLZ,"Mondelez International, Inc.",80285876224.0,38.137196,3.21,0.13340001,22058999808.0,0.041,Consumer Defensive,Confectioners,USD
MAR,"Marriott International, Inc.",93875863552.0,37.228542,0.85,,17774000128.0,0.111,Consumer Cyclical,Lodging,USD
MSI,"Motorola Solutions, Inc.",72965021696.0,35.277687,1.11,0.99289,9589000192.0,0.074,Technology,Communication Equipment,USD
WELL,Welltower Inc.,169997352960.0,106.75113,1.45,0.03836,19720804352.0,0.391,Real Estate,REIT - Healthcare Facilities,USD
AON,Aon plc,76223029248.0,19.797796,0.91,0.44699,15873999872.0,0.022,Financial Services,Insurance Brokers,USD
REGN,"Regeneron Pharmaceuticals, Inc.",78960820224.0,18.988487,0.49,0.14043,2706599936.0,0.167,Healthcare,Biotechnology,USD
CI,The Cigna Group,71296868352.0,11.163347,2.28,0.16758,31878000640.0,0.067,Healthcare,Healthcare Plans,USD
HCA,"HCA Healthcare, Inc.",90685898752.0,13.713184,0.78,,51552002048.0,0.087,Healthcare,Medical Care Facilities,USD
PNC,"The PNC Financial Services Group, Inc.",101850734592.0,13.948908,3.2,0.12623,85722996736.0,0.236,Financial Services,Banks - Regional,USD
ITW,Illinois Tool Works Inc.,85242634240.0,26.837864,2.18,1.04618,9694000128.0,0.061,Industrials,Specialty Industrial Machinery,USD
SNPS,"Synopsys, Inc.",77133619200.0,92.3922,,0.03824,10841960448.0,0.419,Technology,Software - Infrastructure,USD
CTAS,Cintas Corporation,80504111104.0,40.972507,1.02,0.40714002,2705957120.0,0.089,Industrials,Specialty Business Services,USD
CL,Colgate-Palmolive Company,74105184256.0,36.598427,2.29,2.67367,7856999936.0,0.049,Consumer Defensive,Household & Personal Products,USD
USB,U.S. Bancorp,100426964992.0,12.868263,3.24,0.12623,96008003584.0,0.104,Financial Services,Banks - Regional,USD
FTNT,"Fortinet, Inc.",122045931520.0,58.777386,,1.17442,561400000.0,0.256,Technology,Software - Infrastructure,USD
ZTS,Zoetis Inc.,31089958912.0,12.19737,2.74,0.67748,9253999616.0,0.029,Healthcare,Drug Manufacturers - Specialty & Generic,USD
MCK,McKesson Corporation,100592025600.0,23.183756,0.45,,8785999872.0,0.06,Healthcare,Medical Distribution,USD
GD,General Dynamics Corporation,103822254080.0,23.412752,1.66,0.17803,9479000064.0,0.081,Industrials,Aerospace & Defense,USD
TDG,TransDigm Group Incorporated,69522087936.0,37.642033,,,32003000320.0,0.183,Industrials,Aerospace & Defense,USD
CEG,Constellation Energy Corporation,94878433280.0,22.1593,0.65,0.16104999,22466000896.0,0.638,Utilities,Utilities - Independent Power Producers,USD
AJG,Arthur J. Gallagher & Co.,64054489088.0,41.43947,1.12,0.06722,14106000384.0,0.31,Financial Services,Insurance Brokers,USD
EMR,Emerson Electric Co.,91374706688.0,35.69803,1.4,0.128,13112999936.0,0.07,Industrials,Specialty Industrial Machinery,USD
MMM,3M Company,94237958144.0,32.514236,1.72,0.81891996,13159999488.0,0.025,Industrials,Conglomerates,USD
ORLY,"O'Reilly Automotive, Inc.",75854454784.0,29.504763,,,9587433472.0,0.081,Consumer Cyclical,Auto Parts,USD
